EmployeeID,SupervisorID,Job Title,Email Address,Employee,Department,Supervisor
4,1,"CNC Operator","Livia_Gibbons4170@ovock.tech","Livia Gibbons","Accounting","Doug Williams"
9,1,"Operator","Cecilia_Rowlands8706@deavo.com","Cecilia Rowlands","Accounting","Doug Williams"
20,2,"Retail Trainee","Domenic_Bayliss4509@mafthy.com","Domenic Bayliss","Accounting","Cecilia Widdows"
25,3,"Mobile Developer","Enoch_Walter365@corti.com","Enoch Walter","Accounting","Barney Dixon"
26,3,"Ambulatory Nurse","Nicholas_Pope6155@nickia.com","Nicholas Pope","Accounting","Barney Dixon"
41,5,"Associate Professor","Shannon_Griffiths1354@bretoux.com","Shannon Griffiths","Accounting","Quinn Gavin"
46,5,"Budget Analyst","Phoebe_Brooks8071@famism.biz","Phoebe Brooks","Accounting","Quinn Gavin"
68,7,"Clerk","Elise_Phillips6835@tonsy.org","Elise Phillips","Accounting","Lucas Stewart"
81,9,"Pharmacist","Matt_Mcneill5609@twace.org","Matt Mcneill","Accounting","Cecilia Rowlands"
82,9,"Stockbroker","Mike_Uttley4044@infotech44.tech","Mike Uttley","Accounting","Cecilia Rowlands"
116,12,"Stockbroker","Willow_Flack6484@atink.com","Willow Flack","Accounting","Ethan Vass"
150,15,"Loan Officer","Candice_Jones9420@naiker.biz","Candice Jones","Accounting","Doug Warden"
174,18,"Accountant","Cristal_Rycroft7532@zorer.org","Cristal Rycroft","Accounting","Mya Rigg"
193,20,"Inspector","Carissa_Vane3162@guentu.biz","Carissa Vane","Accounting","Domenic Bayliss"
213,22,"Inspector","Daria_Townend4884@vetan.org","Daria Townend","Accounting","Martha Palmer"
231,24,"CNC Operator","Camden_Rogers9219@ovock.tech","Camden Rogers","Accounting","Peyton Little"
232,24,"Design Engineer","Leah_Franks2056@corti.com","Leah Franks","Accounting","Peyton Little"
233,24,"Loan Officer","Chester_Thorpe9776@bulaffy.com","Chester Thorpe","Accounting","Peyton Little"
252,26,"Software Engineer","Leslie_Dempsey6745@naiker.biz","Leslie Dempsey","Accounting","Nicholas Pope"
257,26,"Health Educator","Mona_Newton1680@gembat.biz","Mona Newton","Accounting","Nicholas Pope"
259,26,"Designer","Elly_Lakey460@vetan.org","Elly Lakey","Accounting","Nicholas Pope"
267,27,"Budget Analyst","Irene_Patel8130@bauros.biz","Irene Patel","Accounting","Iris Quinton"
287,29,"Banker","Gladys_Ellison6573@mafthy.com","Gladys Ellison","Accounting","Alan Little"
290,29,"Webmaster","Caydence_Harrison8622@sveldo.biz","Caydence Harrison","Accounting","Alan Little"
293,30,"Audiologist","Mason_Moore5077@irrepsy.com","Mason Moore","Accounting","Gladys Dobson"
295,30,"Laboratory Technician","Quinn_Wise4797@infotech44.tech","Quinn Wise","Accounting","Gladys Dobson"
296,30,"Service Supervisor","Megan_Blackwall8052@twace.org","Megan Blackwall","Accounting","Gladys Dobson"
297,30,"HR Specialist","Lucas_Cartwright8384@hourpy.biz","Lucas Cartwright","Accounting","Gladys Dobson"
305,31,"Paramedic","Logan_Eddison9541@bungar.biz","Logan Eddison","Accounting","Kurt Hill"
319,32,"Business Broker","Camila_Vallory6685@kideod.biz","Camila Vallory","Accounting","Valerie Doherty"
320,32,"Loan Officer","Denny_Varndell3404@guentu.biz","Denny Varndell","Accounting","Valerie Doherty"
333,34,"Electrician","Benny_Matthews6675@gompie.com","Benny Matthews","Accounting","Lynn Oswald"
350,35,"Investment  Advisor","Esmeralda_Rust7662@hourpy.biz","Esmeralda Rust","Accounting","David Flett"
382,39,"Lecturer","Morgan_Bell3363@cispeto.com","Morgan Bell","Accounting","Hayden Miller"
394,40,"Systems Administrator","Mark_Vincent3122@guentu.biz","Mark Vincent","Accounting","Destiny Ebbs"
398,40,"Call Center Representative","Angelique_Lloyd1131@vetan.org","Angelique Lloyd","Accounting","Destiny Ebbs"
402,41,"Operator","Juliet_Gaynor3344@nickia.com","Juliet Gaynor","Accounting","Shannon Griffiths"
404,41,"Audiologist","Violet_Ralph8550@vetan.org","Violet Ralph","Accounting","Shannon Griffiths"
406,41,"Front Desk Coordinator","Marilyn_Franks6839@gembat.biz","Marilyn Franks","Accounting","Shannon Griffiths"
